task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,38,73,0,0,37,0,37,0,1,1,38,1.000000
1,0,1,8,23,18,0,7,15,7,15,0,1,8,23,1.000000
2,1,2,11,32,30,2,9,17,9,21,0,1,10,31,1.235294
3,1,2,4,18,47,0,2,14,2,14,0,1,3,17,1.000000
4,2,3,6,29,16,0,3,23,3,23,0,1,4,27,1.000000
5,2,3,21,39,63,1,8,16,17,18,1,1,19,37,1.125000
6,3,4,8,44,51,0,4,36,4,36,0,1,5,41,1.000000
7,3,4,20,45,79,2,6,18,16,24,1,1,17,42,1.333333
8,4,5,6,39,36,0,1,33,1,33,0,1,2,35,1.000000
9,4,5,5,39,56,0,0,34,0,34,0,1,1,35,1.000000
10,5,6,6,41,21,0,0,35,0,35,0,1,1,36,1.000000
11,5,6,22,41,30,1,5,19,15,19,1,1,17,36,1.000000
12,6,7,12,15,29,0,5,3,5,3,0,1,6,9,1.000000
13,6,7,8,31,70,0,1,23,1,23,0,1,2,25,1.000000
14,7,8,12,42,26,0,4,28,4,30,0,1,5,35,1.071429
15,7,8,10,40,79,0,2,22,2,30,0,1,3,33,1.363636
16,8,9,20,31,33,1,10,11,11,11,0,1,12,23,1.000000
17,8,9,11,40,14,0,2,28,2,28,1,1,3,32,1.000000
18,9,10,21,50,40,2,5,29,11,29,0,1,12,41,1.000000
19,9,10,11,41,62,0,1,29,1,29,1,1,2,32,1.000000
20,10,11,16,30,40,0,4,13,4,13,2,1,6,20,1.000000
21,10,11,20,39,46,1,12,19,9,19,0,1,10,29,1.000000
22,11,12,13,52,52,1,8,24,1,38,1,1,2,41,1.583333
23,11,12,22,25,46,0,9,2,9,2,2,1,11,14,1.000000
24,12,13,16,24,49,0,3,8,3,8,0,1,4,12,1.000000
25,12,13,32,65,53,1,9,31,18,33,1,1,20,53,1.064516
26,13,14,14,34,25,0,0,20,0,20,0,1,1,21,1.000000
27,13,14,17,51,22,0,3,34,3,34,0,1,4,38,1.000000
28,14,15,24,49,76,1,7,25,9,25,0,1,10,35,1.000000
