task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,43,16,0,3,39,3,39,0,1,4,43,1.000000
1,0,1,15,43,14,1,9,24,14,28,0,1,15,43,1.166667
2,1,2,7,16,29,0,5,9,5,9,0,1,6,15,1.000000
3,1,2,13,29,51,1,9,16,11,16,0,1,12,28,1.000000
4,2,3,3,44,7,0,0,39,0,41,0,1,1,42,1.051282
5,2,3,8,22,30,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,7,16,37,0,3,9,3,9,0,1,4,13,1.000000
7,3,4,10,25,51,0,6,10,6,14,1,1,7,22,1.400000
8,4,5,13,25,46,0,8,12,8,12,0,1,9,21,1.000000
9,4,5,6,16,34,0,1,10,1,10,0,1,2,12,1.000000
10,5,6,15,23,44,0,9,7,9,7,1,1,10,18,1.000000
11,5,6,9,21,14,0,3,12,3,12,0,1,4,16,1.000000
12,6,7,7,8,20,0,0,1,0,1,0,1,1,2,1.000000
13,6,7,7,43,54,0,0,36,0,36,0,1,1,37,1.000000
14,7,8,19,35,13,0,11,13,11,15,1,1,12,28,1.153846
15,7,8,14,30,63,0,6,16,6,16,0,1,7,23,1.000000
16,8,9,14,24,56,0,5,8,5,10,0,1,6,16,1.250000
17,8,9,9,40,2,0,0,30,0,30,1,1,1,32,1.000000
18,9,10,10,28,11,0,0,16,0,18,0,1,1,19,1.125000
19,9,10,20,39,40,0,10,16,10,18,1,1,11,30,1.125000
20,10,11,23,37,33,0,12,13,12,13,1,1,13,27,1.000000
21,10,11,11,13,26,0,0,2,0,2,0,1,1,3,1.000000
22,11,12,15,20,36,0,3,5,3,5,0,1,4,9,1.000000
23,11,12,12,28,8,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,16,32,49,0,3,16,3,16,0,1,4,20,1.000000
25,12,13,13,31,38,0,0,18,0,18,0,1,1,19,1.000000
26,13,14,15,24,21,0,1,9,1,9,0,1,2,11,1.000000
27,13,14,19,32,52,0,5,13,5,13,0,1,6,19,1.000000
28,14,15,26,50,53,0,9,14,11,24,0,1,12,36,1.714286
29,14,15,21,40,47,1,9,19,6,19,0,1,7,26,1.000000
30,15,16,18,35,20,0,2,17,2,17,0,1,3,20,1.000000
31,15,16,19,50,32,0,3,31,3,31,0,1,4,35,1.000000
32,16,17,19,23,58,0,2,4,2,4,0,1,3,7,1.000000
33,16,17,22,45,26,0,4,15,4,23,1,1,6,29,1.533333
34,17,18,18,47,77,0,0,27,0,29,0,1,1,30,1.074074
35,17,18,33,57,35,6,14,18,14,24,1,1,16,40,1.333333
