timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,4,0,80,0,0,0,0.920284087
2,0,6,6,0,80,0,0,0,0.920248109
3,0,8,8,0,80,0,0,0,0.920159306
4,0,10,10,0,80,0,0,0,0.920164566
5,0,12,12,0,80,0,0,0,0.920228232
6,0,14,14,0,80,0,0,0,0.920214394
7,0,16,16,0,80,0,0,0,0.920206557
8,0,18,18,0,80,0,0,0,0.920193327
9,0,20,20,0,80,0,0,0,0.920174971
10,0,22,22,0,80,0,0,0,0.920220349
11,0,24,24,0,80,0,0,0,0.920208476
12,0,26,26,0,80,0,0,0,0.920181918
13,0,28,28,0,80,0,0,0,0.920180077
14,0,30,30,0,80,0,0,0,0.920182428
15,0,32,32,0,80,0,0,0,0.920183232
16,0,34,34,0,80,0,0,0,0.920210381
17,0,36,36,0,80,0,0,0,0.920257542
18,0,38,38,0,80,0,0,0,0.920253767
19,0,40,40,0,80,0,0,0,0.920221013
20,0,42,42,0,80,0,0,0,0.920234854
21,0,44,44,0,80,0,0,0,0.920196067
22,0,46,46,0,80,0,0,0,0.920218671
23,0,48,48,0,80,0,0,0,0.92023129
24,0,50,50,0,80,0,0,0,0.920218468
25,0,52,52,0,80,0,0,0,0.92024642
26,0,54,54,0,80,0,0,0,0.920269435
27,0,56,56,0,80,0,0,0,0.920229552
28,0,58,58,0,80,0,0,0,0.920235029
29,0,60,60,0,80,0,0,0,0.920231428
30,0,62,62,0,80,0,0,0,0.920203597
31,0,64,64,0,80,0,0,0,0.920176393
32,0,66,66,0,80,0,0,0,0.920231917
33,0,68,68,0,80,0,0,0,0.920151144
34,0,70,70,0,80,0,0,0,0.920233679
35,0,72,72,0,80,0,0,0,0.920248018
36,0,74,74,0,80,0,0,0,0.920231814
37,0,76,76,0,80,0,0,0,0.920188205
38,0,78,78,0,80,0,0,0,0.920191973
39,0,80,80,0,80,0,0,0,0.920192715
40,0,82,82,0,80,0,0,0,0.920236817
41,0,84,84,0,80,0,0,0,0.920250301
42,0,86,86,0,80,0,0,0,0.920243365
43,0,88,88,0,80,0,0,0,0.92022217
44,0,90,90,0,80,0,0,0,0.920293798
45,0,92,92,0,80,0,0,0,0.92023868
46,0,94,94,0,80,0,0,0,0.920223235
47,0,96,96,0,80,0,0,0,0.920206508
48,0,98,98,0,80,0,0,0,0.920210581
49,0,100,100,0,80,0,0,0,0.920183646
50,0,102,102,0,80,0,0,0,0.920258588
51,0,104,104,0,80,0,0,0,0.920225487
52,0,106,106,0,80,0,0,0,0.920225661
53,0,108,108,0,80,0,0,0,0.920247478
54,0,110,110,0,80,0,0,0,0.920238206
55,0,112,112,0,80,0,0,0,0.920232422
56,0,114,114,0,80,0,0,0,0.920273391
57,0,116,116,0,80,0,0,0,0.920204131
58,0,118,118,0,80,0,0,0,0.920177697
59,0,120,120,0,80,0,0,0,0.920233376
60,0,122,122,0,80,0,0,0,0.920248119
61,0,124,124,0,80,0,0,0,0.9202283
62,0,126,126,0,80,0,0,0,0.920204909
63,0,128,128,0,80,0,0,0,0.920237585
64,0,130,130,0,80,0,0,0,0.920196785
65,0,132,132,0,80,0,0,0,0.920239432
66,0,134,134,0,80,0,0,0,0.920175557
67,0,136,136,0,80,0,0,0,0.920175989
68,0,138,138,0,80,0,0,0,0.920239187
69,0,140,140,0,80,0,0,0,0.920225181
70,0,142,142,0,80,0,0,0,0.920194528
71,0,144,144,0,80,0,0,0,0.920280594
72,0,146,146,0,80,0,0,0,0.920240364
73,0,148,148,0,80,0,0,0,0.920248095
74,0,150,150,0,80,0,0,0,0.920238656
75,0,152,152,0,80,0,0,0,0.920191737
76,0,154,154,0,80,0,0,0,0.920188621
77,0,156,156,0,80,0,0,0,0.920192928
78,0,158,158,0,80,0,0,0,0.920259384
79,0,160,160,0,80,0,0,0,0.920206164
80,0,162,162,0,80,0,0,0,0.920259772
81,0,164,164,0,80,0,0,0,0.920201464
82,0,166,166,0,80,0,0,0,0.920226322
83,0,168,168,0,80,0,0,0,0.920250273
84,0,170,170,0,80,0,0,0,0.920202441
85,0,172,172,0,80,0,0,0,0.920183511
86,0,174,174,0,80,0,0,0,0.92023845
87,0,176,176,0,80,0,0,0,0.92022324
88,0,178,178,0,80,0,0,0,0.920236984
89,0,180,180,0,80,0,0,0,0.920203698
90,0,182,182,0,80,0,0,0,0.920184838
91,0,184,184,0,80,0,0,0,0.920228185
92,0,186,186,0,80,0,0,0,0.920256984
93,0,188,188,0,80,0,0,0,0.920251201
94,0,190,190,0,80,0,0,0,0.920259849
95,0,192,192,0,80,0,0,0,0.920192317
96,0,194,194,0,80,0,0,0,0.92026926
97,0,196,196,0,80,0,0,0,0.920237049
98,0,198,198,0,80,0,0,0,0.920209139
99,0,200,200,0,80,0,0,0,0.920191557
100,0,202,202,0,80,0,0,0,0.920256193
101,0,204,204,0,80,0,0,0,0.920246577
102,0,206,206,0,80,0,0,0,0.920254901
103,0,208,208,0,80,0,0,0,0.920244945
104,0,210,210,0,80,0,0,0,0.920255137
105,0,212,212,0,80,0,0,0,0.920247294
106,0,214,214,0,80,0,0,0,0.920247416
107,0,216,216,0,80,0,0,0,0.920284299
108,0,218,218,0,80,0,0,0,0.920177416
109,0,220,220,0,80,0,0,0,0.920248713
110,0,222,222,0,80,0,0,0,0.920246588
111,0,224,224,0,80,0,0,0,0.920261973
112,0,226,226,0,80,0,0,0,0.920245988
113,0,228,228,0,80,0,0,0,0.920263866
114,0,230,230,0,80,0,0,0,0.920253459
115,0,232,232,0,80,0,0,0,0.920240646
116,0,234,234,0,80,0,0,0,0.920252816
117,0,236,236,0,80,0,0,0,0.920196213
118,0,238,238,0,80,0,0,0,0.920215406
119,0,240,240,0,80,0,0,0,0.920218468
120,0,242,242,0,80,0,0,0,0.920244115
121,0,244,244,0,80,0,0,0,0.920259355
122,0,246,246,0,80,0,0,0,0.920245604
123,0,248,248,0,80,0,0,0,0.920252275
124,0,250,250,0,80,0,0,0,0.920224308
125,0,252,252,0,80,0,0,0,0.920224579
126,0,254,254,0,80,0,0,0,0.920186945
127,0,256,256,0,80,0,0,0,0.920313111
128,0,258,258,0,80,0,0,0,0.920239454
129,0,260,260,0,80,0,0,0,0.920194975
130,0,262,262,0,80,0,0,0,0.920222762
131,0,264,264,0,80,0,0,0,0.920261106
132,0,266,266,0,80,0,0,0,0.920259044
133,0,268,268,0,80,0,0,0,0.920240831
134,0,270,270,0,80,0,0,0,0.920163851
135,0,272,272,0,80,0,0,0,0.920158889
136,0,274,274,0,80,0,0,0,0.920264811
137,0,276,276,0,80,0,0,0,0.920239587
138,0,278,278,0,80,0,0,0,0.920254933
139,0,280,280,0,80,0,0,0,0.920268444
140,0,282,282,0,80,0,0,0,0.920210514
141,0,284,284,0,80,0,0,0,0.920231335
142,0,286,286,0,80,0,0,0,0.920269323
143,0,288,288,0,80,0,0,0,0.920249462
144,0,290,290,0,80,0,0,0,0.920255274
145,0,292,292,0,80,0,0,0,0.920285044
146,0,294,294,0,80,0,0,0,0.920166724
147,0,296,296,0,80,0,0,0,0.920248016
148,0,298,298,0,80,0,0,0,0.920264607
149,0,300,300,0,80,0,0,0,0.920241383
150,0,302,302,0,80,0,0,0,0.920249328
151,0,304,304,0,80,0,0,0,0.920248918
152,0,306,306,0,80,0,0,0,0.920241387
153,0,308,308,0,80,0,0,0,0.92021813
154,0,310,310,0,80,0,0,0,0.920231394
155,0,312,312,0,80,0,0,0,0.9202503
156,0,314,314,0,80,0,0,0,0.920251252
157,0,316,316,0,80,0,0,0,0.92028451
158,0,318,318,0,80,0,0,0,0.920280689
159,0,320,320,0,80,0,0,0,0.920280637
160,0,322,322,0,80,0,0,0,0.920209767
161,0,324,324,0,80,0,0,0,0.920265003
162,0,326,326,0,80,0,0,0,0.920228205
163,0,328,328,0,80,0,0,0,0.920263949
164,0,330,330,0,80,0,0,0,0.920262044
165,0,332,332,0,80,0,0,0,0.920282498
166,0,334,334,0,80,0,0,0,0.920244203
167,0,336,336,0,80,0,0,0,0.920227508
168,0,338,338,0,80,0,0,0,0.920256339
169,0,340,340,0,80,0,0,0,0.920268309
170,0,342,342,0,80,0,0,0,0.920241572
171,0,344,344,0,80,0,0,0,0.920264145
172,0,346,346,0,80,0,0,0,0.920307431
