task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,43,16,0,3,39,3,39,0,1,4,43,1.000000
1,0,1,15,46,14,1,9,24,14,30,1,1,15,46,1.250000
2,1,2,7,16,29,0,5,9,5,9,0,1,6,15,1.000000
3,1,2,13,29,51,1,9,16,11,16,0,1,12,28,1.000000
4,2,3,3,44,7,0,0,39,0,41,0,1,1,42,1.051282
5,2,3,8,22,30,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,7,16,37,0,3,9,3,9,0,1,4,13,1.000000
7,3,4,10,20,51,0,6,10,6,10,0,1,7,17,1.000000
8,4,5,13,25,46,0,8,12,8,12,0,1,9,21,1.000000
9,4,5,6,16,34,0,1,10,1,10,0,1,2,12,1.000000
10,5,6,15,22,44,0,9,7,9,7,0,1,10,17,1.000000
11,5,6,9,21,14,0,3,12,3,12,0,1,4,16,1.000000
12,6,7,7,8,20,0,0,1,0,1,0,1,1,2,1.000000
13,6,7,7,43,54,0,0,36,0,36,0,1,1,37,1.000000
14,7,8,19,37,13,0,11,13,11,17,1,1,12,30,1.307692
15,7,8,14,30,63,0,6,16,6,16,0,1,7,23,1.000000
16,8,9,14,24,56,0,5,8,5,10,0,1,6,16,1.250000
17,8,9,9,39,2,0,0,30,0,30,0,1,1,31,1.000000
18,9,10,10,28,11,0,0,16,0,18,0,1,1,19,1.125000
19,9,10,20,49,40,0,10,16,10,28,1,1,11,40,1.750000
20,10,11,21,34,33,1,12,13,10,13,0,1,11,24,1.000000
21,10,11,11,13,26,0,0,2,0,2,0,1,1,3,1.000000
22,11,12,15,21,36,0,3,5,3,5,1,1,4,10,1.000000
23,11,12,12,28,8,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,16,32,49,0,3,16,3,16,0,1,4,20,1.000000
25,12,13,13,31,38,0,0,18,0,18,0,1,1,19,1.000000
26,13,14,15,24,21,0,1,9,1,9,0,1,2,11,1.000000
27,13,14,20,33,52,1,5,13,6,13,0,1,7,20,1.000000
28,14,15,24,47,53,1,9,14,9,22,1,1,10,33,1.571429
29,14,15,21,40,47,1,9,19,6,19,0,1,7,26,1.000000
30,15,16,19,36,20,0,3,17,3,17,0,1,4,21,1.000000
31,15,16,19,50,32,0,3,31,3,31,0,1,4,35,1.000000
32,16,17,19,23,58,0,2,4,2,4,0,1,3,7,1.000000
33,16,17,23,38,26,0,4,15,6,15,0,1,7,22,1.000000
34,17,18,18,47,77,0,0,27,0,29,0,1,1,30,1.074074
35,17,18,29,54,35,2,14,18,11,24,1,1,12,37,1.333333
36,18,19,22,29,35,0,3,7,3,7,0,1,4,11,1.000000
37,18,19,19,33,57,0,0,14,0,14,0,1,1,15,1.000000
38,19,20,29,38,18,1,4,8,9,8,1,1,10,19,1.000000
39,19,20,25,50,71,2,8,23,4,25,1,1,6,31,1.086957
40,20,21,21,31,17,0,0,10,0,10,0,1,1,11,1.000000
41,20,21,27,44,43,0,6,13,6,15,2,1,7,24,1.153846
42,21,22,22,37,53,0,0,15,0,15,0,1,1,16,1.000000
43,21,22,22,38,14,0,0,16,0,16,0,1,1,17,1.000000
44,22,23,24,37,44,0,1,7,1,13,0,1,2,15,1.857143
45,22,23,29,49,6,0,6,14,6,20,0,1,7,27,1.428571
46,23,24,29,45,58,0,5,13,5,15,1,1,6,22,1.153846
47,23,24,24,48,18,0,0,24,0,24,0,1,1,25,1.000000
48,24,25,34,35,31,0,9,1,9,1,0,1,10,11,1.000000
49,24,25,29,40,21,0,4,11,4,11,0,1,5,16,1.000000
50,25,26,38,57,78,0,10,19,12,19,0,1,13,32,1.000000
51,25,26,37,60,24,1,6,23,11,23,0,1,12,35,1.000000
52,26,27,27,34,29,0,0,7,0,7,0,1,1,8,1.000000
53,26,27,41,55,23,2,10,14,14,14,0,1,15,29,1.000000
54,27,28,35,56,47,0,7,19,7,21,0,1,8,29,1.105263
55,27,28,38,41,30,2,9,3,9,3,1,1,11,14,1.000000
56,28,29,31,62,76,0,2,31,2,31,0,1,3,34,1.000000
57,28,29,32,55,8,0,3,23,3,23,0,1,4,27,1.000000
58,29,30,32,56,5,0,2,20,2,24,0,1,3,27,1.200000
59,29,30,39,58,41,0,7,17,9,17,2,1,10,29,1.000000
60,30,31,33,47,24,0,2,14,2,14,0,1,3,17,1.000000
61,30,31,36,56,15,1,6,19,5,19,1,1,6,26,1.000000
